amplitude_mean,amplitude_std,amplitude_min,amplitude_max,width_sec_mean,width_sec_std,width_sec_min,width_sec_max,rise_time_sec_mean,rise_time_sec_std,rise_time_sec_min,rise_time_sec_max,slope_up_mean,slope_up_std,slope_up_min,slope_up_max,auc_mean,auc_std,auc_min,auc_max,fall_time_sec_mean,fall_time_sec_std,fall_time_sec_min,fall_time_sec_max,slope_down_mean,slope_down_std,slope_down_min,slope_down_max,rise_fall_ratio_mean,rise_fall_ratio_std,rise_fall_ratio_min,rise_fall_ratio_max,width25_sec_mean,width25_sec_std,width25_sec_min,width25_sec_max,width75_sec_mean,width75_sec_std,width75_sec_min,width75_sec_max,notch_amp_rel_foot_mean,notch_amp_rel_foot_std,notch_amp_rel_foot_min,notch_amp_rel_foot_max,notch_time_from_peak_mean,notch_time_from_peak_std,notch_time_from_peak_min,notch_time_from_peak_max,beat_valid_percent,bpm_mean,bpm_std,ibi_mean,ibi_std,sdnn,rmssd,num_beats,spec_centroid_hz,spec_entropy,lf_energy,hf_energy,total_power,shannon_entropy,signal_skew,signal_kurtosis,snr_band,sampen,apen,hjorth_activity,hjorth_mobility,hjorth_complexity,dfa_alpha,petrosian_fd,n_peaks,n_feet,n_valid_beats,row_index
1655.5255545958455,948.7090705977022,747.7787501404821,2640.4787106130716,3.3266666666666667,0.9235438989746689,2.36,4.2,1.8399999999999999,0.563205113613149,1.42,2.48,855.1950080364228,288.1378601421014,526.6047536200579,1064.709157505271,540.9194918994884,3795.2296344133047,-2448.274230174031,4810.81969615229,1.4866666666666666,0.6616141876753652,0.74,2.0,805.5678565178808,507.73903181296043,421.23338147810136,1381.159379781756,1.447016551435156,0.7396080740994779,0.71,2.1891891891891895,1.52,,1.52,1.52,0.92,1.108692924122816,0.26,2.2,951.1644129648481,958.4537178552739,84.20475477425248,1980.3952324690003,0.43333333333333335,0.2663331247391757,0.26,0.74,100.0,16.984643772072225,8.775010590382601,4.895,3.7959408144314715,3.7959408144314715,4.031955687587187,5,0.44755359622672225,1.669893507898872,0.0,39132.42959196028,109873.16925999727,2.508408381112032,-0.7703813001477634,4.742569402509058,0.5114876043467466,0.10457478354945962,0.11064438427980683,683793.3720332355,0.04836375706510697,4.001636373795888,1.507373366695058,1.0033115940651955,5,4,3,0
914.3161883259611,724.2558639614476,528.4963359697089,2202.6586194082383,2.0439999999999996,1.116727361534587,0.94,3.54,1.52,0.8519389649499546,0.6,2.36,653.8293124999166,300.3660949368813,308.9589305507241,933.3299234780671,61.26188590807601,300.01761805295064,-390.52725865430307,418.4623099718117,0.524,0.36834766186308276,0.34,1.18,2222.584144716825,2139.2827897398456,1045.709338047291,6023.592493156124,3.220168067226891,1.7812688116049145,1.764705882352941,5.571428571428571,1.6333333333333335,0.7139561144309453,0.88,2.3,1.124,0.9358846082717677,0.3,2.7,2128.3876945010447,,2128.3876945010447,2128.3876945010447,0.2,,0.2,0.2,100.0,35.30261764474221,19.979274059111738,2.1733333333333333,1.0574434579052758,1.0574434579052758,1.0537172296209265,7,0.5408895043437213,1.9467710190963514,0.0,17683.369784910992,61039.83882695446,1.9839376023626585,-3.59837718850095,20.221196407822756,1.4149374617164057,0.10779833118435699,0.18305081716563776,63643.94770108548,0.08624485742833443,1.9724099444232002,1.4353425618601359,1.0036567152993436,7,6,5,1
882.2378581258293,,882.2378581258293,882.2378581258293,16.08,,16.08,16.08,3.3,,3.3,3.3,267.34480549267556,,267.34480549267556,267.34480549267556,-801.6178838574314,,-801.6178838574314,-801.6178838574314,12.78,,12.78,12.78,91.45883293669677,,91.45883293669677,91.45883293669677,0.25821596244131456,,0.25821596244131456,0.25821596244131456,9.88,,9.88,9.88,1.8,,1.8,1.8,621.1325971336244,,621.1325971336244,621.1325971336244,0.28,,0.28,0.28,100.0,8.49856420073841,7.899716125111574,12.43,11.554124804588188,11.554124804588188,16.340000000000003,3,0.37756695949785307,1.3409520561316446,0.0,15101.26671216772,39384.66767874401,2.555868080054473,-1.1732956681187359,5.468572760681839,0.46449931039465814,0.07815651681173347,0.08000327633735438,331303.84192636854,0.040335499076461605,4.060576753044113,1.5230725290870784,1.0031099724973969,3,2,1,2
172.99122696666748,71.69495686843385,124.66921839296835,358.5719760070641,3.04,3.3956148191454227,1.06,9.88,0.9666666666666668,0.7252585745787498,0.7,2.9,197.32401679394488,35.61995253880493,123.64550896795315,239.33827935566464,-26.304996219084913,239.31803161406057,-517.6794676981949,328.77439099531756,2.0733333333333333,3.452868372817012,0.32,9.16,301.99893270726056,133.66446634905512,34.093313489269846,405.8848632680388,2.286035955893047,2.3291683275474373,0.07860262008733623,8.055555555555555,1.1657142857142857,0.8625322630266679,0.8,3.12,0.3333333333333333,0.12922847983320088,0.22,0.66,34.56924022559688,12.003629181380758,26.08139263259382,43.05708781859994,0.37,0.014142135623730963,0.36,0.38,100.0,37.67356106415415,23.179382540033238,3.5260000000000007,4.093898440905007,4.093898440905007,5.3601907097084185,11,0.3152925589203761,1.1704046640336594,0.0,3659.192767031515,9450.544546371646,2.4564198531642307,1.1990891496239193,6.051679418536949,0.3851279347151093,0.05558829010997127,0.059318882804210826,87477.75070732304,0.033555009583743786,4.217724871077138,1.5795488019266728,1.0026193929672813,11,10,9,3
684.8749064204445,18.251657208654823,671.9690358403124,697.7807770005767,10.32,11.851109652686537,1.94,18.7,5.5200000000000005,6.873077913133242,0.66,10.38,560.9902514246943,701.8082180722437,64.73690133336342,1057.2436015160251,-602.7304129346116,148.21586291364758,-707.5348546802676,-497.9259711889557,4.8,4.978031739553295,1.28,8.32,337.3022132254242,304.1275951912336,122.25152831974572,552.3528981311027,0.881610576923077,0.517581766517557,0.515625,1.247596153846154,8.120000000000001,9.22067242667258,1.6,14.64,3.29,4.087077195258245,0.4,6.18,385.8780497619993,151.55983014978207,278.70906610760704,493.04703341639157,0.33999999999999997,0.05656854249492382,0.3,0.38,100.0,6.210687436089967,0.7165937176840436,9.753333333333334,1.203550303615654,1.203550303615654,1.5315351775261319,4,0.32376773666522735,1.308823654850675,0.0,15847.702156071733,40355.192516602205,2.5774950076442633,-1.3280648873751015,5.571871150635115,0.45642608088123077,0.05586933397072437,0.06290942184353332,298614.0276889621,0.03643560063195562,4.074944739608425,1.6027092035426125,1.0029658209551204,4,3,2,4
580.2858599822748,98.4715603264221,510.65595192144156,649.9157680431081,7.91,2.8991378028648453,5.86,9.96,2.75,1.682914139223983,1.56,3.94,246.1483997720396,114.82729527174575,164.9532406200782,327.343558924001,-253.09801154740785,1087.787069389168,-1022.2796247995301,516.0836017047144,5.16,4.582051942088828,1.92,8.4,215.23575975499514,124.9392494433355,126.89036923725503,303.5811502727353,1.1188988095238095,1.3197222097681072,0.18571428571428572,2.0520833333333335,4.59,1.34350288425444,3.64,5.54,1.39,1.400071426749364,0.4,2.38,285.3157029802004,200.62622649135204,143.4515377442972,427.1798682161036,0.35,0.042426406871192854,0.32,0.38,100.0,9.219498201284818,7.153052190198155,9.76,6.883836139827851,6.883836139827851,10.322054059149274,4,0.4071867355175076,1.527382186033599,0.0,11645.31250589286,34353.20804910705,2.534270871460699,-1.3887004106782301,6.508731607947189,0.5196611447383876,0.08643264242770987,0.08828968546463134,242876.75116876268,0.041867097139782386,3.7495532201306014,1.5481710899145653,1.0025037709209812,4,3,2,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.22732425410750326,0.8764046254665918,0.0,11228.093231740977,25854.02914578281,2.4622670722287516,-1.2531058825609835,6.274674702481386,0.3038817408814578,0.035915779087285445,0.03899678168766929,260142.89086068276,0.0335127045584735,4.393929659828304,1.6479540144700886,1.0029658209551204,2,1,0,6
557.7378260300983,151.46195887388598,198.1815249347172,919.4510103928013,1.1513333333333335,0.08720698063380226,1.06,1.32,0.7793333333333333,0.07153168255532232,0.7,0.94,722.5532411777773,209.6672593371289,247.72690616839648,1209.8039610431597,-50.92796618912984,246.34467744322873,-681.9755195789014,379.9383913620668,0.372,0.07116760208273773,0.28,0.6,1477.8949093199178,577.1641973063216,519.2711777155968,2651.8565800915235,2.160743050968631,0.4188908098439207,1.2,2.9374999999999996,0.8638095238095238,0.08868349285386713,0.78,1.16,0.36466666666666664,0.17266138544268808,0.22,0.84,,,,,,,,,100.0,52.3171817318004,3.957100892974992,1.1535483870967744,0.09156230618534295,0.09156230618534295,0.14596803303006675,32,0.9395706024198858,2.0496530801348274,0.0,3909.580045366005,37171.24830801286,2.760935374333451,0.3465115019390416,2.0185065670638975,2.627509307366759,0.27990788668141964,0.34501905780392583,102900.2467268017,0.08452030986834001,2.3174432700774266,1.3156801802606843,1.0033403790248325,32,31,30,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.19937875084957893,0.8051274249200977,0.0,12872272.290068878,29876302.800267305,2.612711265691592,-1.7133860338153322,5.286941573070763,0.23318819056278847,0.015169879557867924,0.03864175451616436,379298694.43976843,0.03688679691238468,3.421582918383353,1.795778492648124,1.001953564464314,2,1,0,8
278.99369567415556,111.2655144591574,95.99155967067067,584.6146277138758,1.094,0.3639306489447946,0.42,1.78,0.6940000000000002,0.30531611656524577,0.2,1.14,472.8907189031439,244.19906105958748,208.23177578570753,1108.438790012242,-0.6013026926164052,124.19225908434387,-196.0423817733663,437.697061778616,0.4000000000000001,0.1901723356363362,0.2,1.12,760.3555748004662,343.3210303390547,305.99112649844267,1629.2186629839784,1.9351079424808575,0.9702482620177875,0.32258064516129037,4.384615384615384,0.8218181818181818,0.3376619380617016,0.26,1.46,0.2937931034482759,0.12154992487226474,0.14,0.62,32.88951753054789,97.47486627090879,-54.98863631457414,137.73361979676466,0.2733333333333334,0.04163331998932266,0.24,0.32,100.0,64.12968735744732,31.214974223387202,1.0993548387096777,0.36629619602967006,0.36629619602967006,0.44752653552610716,32,0.7293665041873005,2.1374913435240317,0.0,2700.6721267741814,14069.127748806226,2.9695578044866346,-0.1835141038267346,0.37579492627863553,3.1125324511061,0.33876686314185367,0.4021452016649416,18854.566545212405,0.09907554910586117,2.032438159497803,1.4125820270656773,1.0032540105634786,32,31,30,9
