target,model,mae_mean,mae_std,r2_mean
diastolic_BP,rf,7.414959930857589,0.5355355637757445,-0.02732603353132832
diastolic_BP,ridge,7.45695388744407,0.6794730138729379,-0.006868852949141369
diastolic_BP,catboost,7.594687931097091,0.5577629538458982,-0.04760482332156781
diastolic_BP,lgbm,8.575609784159246,0.7541743920143781,-0.3377183448991097
systolic_BP,rf,10.369887911230066,0.4268479703418737,0.09431099562161141
systolic_BP,ridge,10.434268249383486,0.6185596081890652,0.03871491220004475
systolic_BP,catboost,10.551433017278635,0.5650507282377565,0.05876382578924142
systolic_BP,lgbm,11.429746359180324,0.6452227918700312,-0.07513669771756828
