dataset,target,model,mae_mean,mae_std,r2_mean
kaggle,diastolic_BP,catboost,8.53953178574365,1.6463766888319753,0.006505847079247307
kaggle,diastolic_BP,rf,8.542979613409846,1.464626113737712,0.04196775669749777
kaggle,diastolic_BP,ridge,9.012026185595648,1.4955465243427346,-0.0630961001753888
kaggle,diastolic_BP,lgbm,9.583159312986984,1.3910418979056238,-0.19597608035283856
kaggle,systolic_BP,rf,14.733438236182423,1.5515952532892543,0.08317812755386282
kaggle,systolic_BP,ridge,14.82773158162756,1.270708550518429,0.056295997998885426
kaggle,systolic_BP,catboost,14.97345399161919,1.2539926303387272,0.03275703542158721
kaggle,systolic_BP,lgbm,16.021036208965974,1.2087869911807012,-0.0983374086106121
