amplitude_mean,amplitude_std,amplitude_min,amplitude_max,width_sec_mean,width_sec_std,width_sec_min,width_sec_max,rise_time_sec_mean,rise_time_sec_std,rise_time_sec_min,rise_time_sec_max,slope_up_mean,slope_up_std,slope_up_min,slope_up_max,auc_mean,auc_std,auc_min,auc_max,fall_time_sec_mean,fall_time_sec_std,fall_time_sec_min,fall_time_sec_max,slope_down_mean,slope_down_std,slope_down_min,slope_down_max,bpm_mean,bpm_std,ibi_mean,ibi_std,sdnn,rmssd,num_beats,sd1,sd2,sdppg_b_over_a_mean,sdppg_c_over_a_mean,sdppg_d_over_a_mean,sdppg_e_over_a_mean,sdppg_b_over_a_std,sdppg_c_over_a_std,sdppg_d_over_a_std,sdppg_e_over_a_std,ai_proxy_mean,ai_proxy_std,shannon_entropy,signal_skew,signal_kurtosis,n_valid_beats,n_peaks,n_feet,row_index
1655.5255545958455,948.7090705977022,747.7787501404821,2640.4787106130716,3.3266666666666667,0.9235438989746689,2.36,4.2,1.8399999999999999,0.563205113613149,1.42,2.48,855.1950080364228,288.1378601421014,526.6047536200579,1064.709157505271,540.9194918994884,3795.2296344133047,-2448.274230174031,4810.81969615229,1.4866666666666666,0.6616141876753652,0.74,2.0,805.5678565178808,507.73903181296043,421.23338147810136,1381.159379781756,16.984643772072225,8.775010590382601,4.895,3.7959408144314715,3.7959408144314715,4.031955687587187,5,2.0739120307069703,4.16084593428895,,,,,,,,,0.9954785549732641,0.005350704370448149,2.508408381112032,-0.7703813001477634,4.742569402509058,3,5,4,0
914.3161883259611,724.2558639614476,528.4963359697089,2202.6586194082383,2.0439999999999996,1.116727361534587,0.94,3.54,1.52,0.8519389649499546,0.6,2.36,653.8293124999166,300.3660949368813,308.9589305507241,933.3299234780671,61.26188590807601,300.01761805295064,-390.52725865430307,418.4623099718117,0.524,0.36834766186308276,0.34,1.18,2222.584144716825,2139.2827897398456,1045.709338047291,6023.592493156124,35.30261764474221,19.979274059111738,2.1733333333333333,1.0574434579052758,1.0574434579052758,1.0537172296209265,7,0.6496399002524399,1.200671663880032,,,,,,,,,0.9939179725780651,0.006461737555746613,1.9839376023626585,-3.59837718850095,20.221196407822756,5,7,6,1
882.2378581258293,,882.2378581258293,882.2378581258293,16.08,,16.08,16.08,3.3,,3.3,3.3,267.34480549267556,,267.34480549267556,267.34480549267556,-801.6178838574314,,-801.6178838574314,-801.6178838574314,12.78,,12.78,12.78,91.45883293669677,,91.45883293669677,91.45883293669677,8.49856420073841,7.899716125111574,12.43,11.554124804588188,11.554124804588188,16.340000000000003,3,0.0,11.554124804588188,,,,,,,,,0.9950320274711428,,2.555868080054473,-1.1732956681187359,5.468572760681839,1,3,2,2
172.99122696666748,71.69495686843385,124.66921839296835,358.5719760070641,3.04,3.3956148191454227,1.06,9.88,0.9666666666666668,0.7252585745787498,0.7,2.9,197.32401679394488,35.61995253880493,123.64550896795315,239.33827935566464,-26.304996219084913,239.31803161406057,-517.6794676981949,328.77439099531756,2.0733333333333333,3.452868372817012,0.32,9.16,301.99893270726056,133.66446634905512,34.093313489269846,405.8848632680388,37.67356106415415,23.179382540033238,3.5260000000000007,4.093898440905007,4.093898440905007,5.3601907097084185,11,3.725461940037325,4.03595606186853,,,,,,,,,0.9950407956140217,0.0018393385848450715,2.4564198531642307,1.1990891496239193,6.051679418536949,9,11,10,3
684.8749064204445,18.251657208654823,671.9690358403124,697.7807770005767,10.32,11.851109652686537,1.94,18.7,5.5200000000000005,6.873077913133242,0.66,10.38,560.9902514246943,701.8082180722437,64.73690133336342,1057.2436015160251,-602.7304129346116,148.21586291364758,-707.5348546802676,-497.9259711889557,4.8,4.978031739553295,1.28,8.32,337.3022132254242,304.1275951912336,122.25152831974572,552.3528981311027,6.210687436089967,0.7165937176840436,9.753333333333334,1.203550303615654,1.203550303615654,1.5315351775261319,4,0.8202438661763952,1.1218635290345156,,,,,,,,,0.9969529884520881,0.0007308396519822967,2.5774950076442633,-1.3280648873751015,5.571871150635115,2,4,3,4
580.2858599822748,98.4715603264221,510.65595192144156,649.9157680431081,7.91,2.8991378028648453,5.86,9.96,2.75,1.682914139223983,1.56,3.94,246.1483997720396,114.82729527174575,164.9532406200782,327.343558924001,-253.09801154740785,1087.787069389168,-1022.2796247995301,516.0836017047144,5.16,4.582051942088828,1.92,8.4,215.23575975499514,124.9392494433355,126.89036923725503,303.5811502727353,9.219498201284818,7.153052190198155,9.76,6.883836139827851,6.883836139827851,10.322054059149274,4,6.6609458787772775,4.337595339970448,,,,,,,,,0.9962440613328922,0.00513545289162688,2.534270871460699,-1.3887004106782301,6.508731607947189,2,4,3,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2.4622670722287516,-1.2531058825609835,6.274674702481386,0,2,1,6
557.7378260300983,151.46195887388598,198.1815249347172,919.4510103928013,1.1513333333333335,0.08720698063380226,1.06,1.32,0.7793333333333333,0.07153168255532232,0.7,0.94,722.5532411777773,209.6672593371289,247.72690616839648,1209.8039610431597,-50.92796618912984,246.34467744322873,-681.9755195789014,379.9383913620668,0.372,0.07116760208273773,0.28,0.6,1477.8949093199178,577.1641973063216,519.2711777155968,2651.8565800915235,52.3171817318004,3.957100892974992,1.1535483870967744,0.09156230618534295,0.09156230618534295,0.14596803303006675,32,0.10319776052695027,0.07467699125882693,,,,,,,,,0.9938760514556457,0.004167174740561012,2.760935374333451,0.3465115019390416,2.0185065670638975,30,32,31,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2.612711265691592,-1.7133860338153322,5.286941573070763,0,2,1,8
278.99369567415556,111.2655144591574,95.99155967067067,584.6146277138758,1.094,0.3639306489447946,0.42,1.78,0.6940000000000002,0.30531611656524577,0.2,1.14,472.8907189031439,244.19906105958748,208.23177578570753,1108.438790012242,-0.6013026926164052,124.19225908434387,-196.0423817733663,437.697061778616,0.4000000000000001,0.1901723356363362,0.2,1.12,760.3555748004662,343.3210303390547,305.99112649844267,1629.2186629839784,64.12968735744732,31.214974223387202,1.0993548387096777,0.36629619602967006,0.36629619602967006,0.44752653552610716,32,0.31644026994749647,0.3994434198607103,,,,,,,,,0.9923259294879382,0.007537722725549388,2.9695578044866346,-0.1835141038267346,0.37579492627863553,30,32,31,9
