amplitude_mean,amplitude_std,amplitude_min,amplitude_max,width_mean,width_std,width_min,width_max,rise_time_mean,rise_time_std,rise_time_min,rise_time_max,slope_mean,slope_std,slope_min,slope_max,auc_mean,auc_std,auc_min,auc_max,shannon_entropy,signal_skew,signal_kurtosis,row_index
438.7755068734791,332.34733181536706,121.893713284586,2017.7488888083203,0.8815000000000002,0.5688564777759785,0.36,2.98,0.40700000000000003,0.25666699966678364,0.18,1.16,1174.1284600460888,641.2998180560643,391.9000411985543,3061.5396266600087,43.718045865011995,716.7125314352878,-740.3620069338494,3968.924205065071,2.137132187228645,-0.7703813001477634,4.742569402509058,0
397.4719042028598,454.65638580623676,101.44318471184891,2202.6586194082383,1.3161904761904761,0.744999840204521,0.56,3.54,0.8838095238095237,0.6172720323364423,0.28,2.6,535.6378131214142,454.23288876909334,51.378713400654554,1981.714824312872,-15.889512383871269,151.70423551290986,-401.0918906366019,264.75021335060046,1.6434890518949536,-3.59837718850095,20.221196407822756,1
282.681182239244,143.5482467116626,105.81145898695296,621.3014383223112,0.99,0.4050328541034984,0.58,2.16,0.530625,0.3488223274520028,0.24,1.28,605.5033309331033,225.07185591759,176.66837031557222,1382.279076021482,31.625024266943086,402.97613545946814,-660.5722661613511,1183.9344633206504,2.170502155960009,-1.1732956681187359,5.468572760681839,2
155.62189872423244,68.76350501702773,100.79187737440793,358.5719760070641,2.28,2.500574479449218,1.06,9.88,0.9083333333333333,0.6279813739758576,0.68,2.9,183.3718731619276,39.59568526003467,123.64550896795315,239.33827935566464,-19.185135280266113,162.82005133992828,-266.455256265595,328.77439099531756,2.105727305263648,1.1990891496239193,6.051679418536949,3
327.7939303206199,365.7172467837715,102.31339434447202,1549.821229241532,1.7223529411764706,1.2433197970140504,0.62,4.32,0.9552941176470587,1.159838984768246,0.24,4.02,430.2094175294074,321.58940458740784,147.38541084274303,1376.5211419969671,8.047988992466973,606.4554299303137,-1379.681633469393,1541.2359955143734,2.1775499651914623,-1.3280648873751015,5.571871150635115,4
297.1821717472025,123.79676952702279,109.28689750710973,482.3526777756042,1.0648275862068965,0.28013543522547363,0.5,2.18,0.5993103448275863,0.19164571171235215,0.22,0.84,498.91363305252764,132.17753189052112,263.10785824443445,799.1857439641858,15.489645778784945,299.2874902924036,-593.951061073594,869.7381896471518,2.1490489930622325,-1.3887004106782301,6.508731607947189,5
174.58069241605858,59.895249044427224,113.66835401061077,261.3516885232644,4.086666666666667,5.14347223834898,0.38,14.28,1.5633333333333335,1.2557972235463282,0.18,3.12,212.2578294218979,211.6314411922343,74.52411998395561,631.4908556145043,-235.90849471028378,255.96322550154554,-534.2774329113573,70.23352019622827,2.095304607252822,-1.2531058825609835,6.274674702481386,6
531.2145397248489,144.28787442749226,198.1815249347172,919.4510103928013,1.0793750000000002,0.21970563150754474,0.48,1.32,0.719375,0.1805714495347943,0.26,0.94,809.5650920277488,364.814320979638,247.72690616839648,2017.986564294512,-47.560264857955865,228.93914418958923,-681.9755195789014,379.9383913620668,2.3619422907113146,0.3465115019390416,2.0185065670638975,7
6908.313832545892,21202.25242619089,140.39470163785973,80473.00179629166,1.7728571428571427,2.136692010387259,0.46,8.12,0.8828571428571428,1.1513699436987002,0.2,4.62,2999.829739396265,4266.9195121644225,701.9735081892986,17418.398657205988,-5763.301273808478,21211.404852786978,-60785.79612493704,13268.27988356061,2.2404958026464388,-1.7133860338153322,5.286941573070763,8
292.3488256485585,104.13599193758364,135.0314324807296,584.6146277138758,1.1721428571428572,0.3161968109902807,0.48,1.78,0.7435714285714287,0.27178714827646644,0.24,1.14,455.2329647838664,247.41939514477713,208.23177578570753,1108.438790012242,-0.6766440594191417,128.77296038795433,-196.0423817733663,437.697061778616,2.566183700981896,-0.1835141038267346,0.37579492627863553,9
685.3593496673781,215.17600262637077,326.99094169745376,1162.4544809757754,0.947027027027027,0.17902304111272735,0.42,1.2,0.5935135135135134,0.15874886204694885,0.26,0.88,1225.6226304726933,485.07620687885503,619.0856978173094,2675.7937518864546,-3.182067742784916,164.93921219483207,-361.6037036365242,316.8086725014221,2.4406638801994616,-0.41632572824640823,0.5091332436675926,10
209.46542147202,48.76969451444133,153.1610530475407,238.5377552766093,5.633333333333334,1.5955354378180802,4.12,7.3,3.0533333333333332,1.5864845833897452,2.02,4.88,76.62451996094308,28.530511107479555,48.50357706801436,105.54767932593333,48.67075462236028,243.01707237879864,-193.02762237502816,292.9853973387565,2.053623937730376,1.120708670018429,5.9008056491196665,11
333.3688744927755,211.6133142203544,139.67644217304843,621.5951762879382,5.435,7.741134714411491,0.9,17.02,2.64,3.728735263687497,0.58,8.22,275.71137038208474,232.34846921608357,75.61985112991948,610.7302021660607,-113.19275455142767,300.2089642383318,-332.42491094828716,326.5848191801117,2.145004739194655,-1.1062726008938324,5.337218267857283,12
171.1467269197986,92.79467653113953,105.53098188661765,236.76247195297952,9.0,10.55003317530329,1.54,16.46,3.75,4.822468247692254,0.34,7.16,171.72631259698395,196.09333686962398,33.06738435097479,310.3852408429931,-9.884620683062828,30.028457276065904,-31.117946451539552,11.348705085413895,2.4802314448073695,0.18174069352197145,1.1850570286794433,13
278.023130215233,107.28770421599638,113.46190351356563,669.2279380748544,1.1268965517241378,0.12775823843371015,0.9,1.32,0.7310344827586207,0.13748622859831158,0.34,0.96,387.98163108960165,139.8914264708211,126.06878168173958,816.1316317986029,-56.29761575511887,359.3676462113578,-1017.1329411065313,428.06340657122746,2.1289374289618896,1.1749416693585917,5.624929823310689,14
368.13716985655543,221.40859441848437,150.29685148263545,729.9810150906736,2.026666666666667,1.1092121145892317,0.88,4.9,1.1983333333333335,1.1238071116710486,0.24,4.24,591.719506806171,640.8001187980889,42.789556271516666,2192.8433362951814,-78.54196712259277,480.920712992629,-939.5152687139414,584.4016422314204,2.251074972602264,-0.8367911420186899,3.790436275507407,15
256.78361742740145,175.00660243413256,137.61326387109983,600.2370627908311,3.9333333333333336,4.178146319441992,0.4,10.1,1.5566666666666669,2.081361733737475,0.2,5.58,413.62610117472894,375.0087179665123,107.5693660915468,963.6885243979663,-279.56768464898386,1268.4711310025339,-2585.2721478761136,1318.6946579141113,2.082226604281266,-1.2218672791788252,6.263415033320378,16
532.204012816907,625.6418726300758,109.44444824573125,2810.9453276514737,1.05,1.1709761676418462,0.34,6.34,0.47428571428571425,0.5087051723552183,0.18,2.38,1590.1987842526758,1775.5934379393532,139.92199664976079,8267.486257798451,-8.620902846598389,304.2511136511422,-912.3533138090379,899.9468396897523,2.0256624531585583,2.4958496610826377,10.617707498427524,17
344.1689572532021,116.93748901749696,193.93513730352345,555.9431064642749,3.8771428571428572,3.2400499702201833,0.56,9.84,2.0685714285714285,1.652628497993712,0.28,4.22,341.0307445706298,326.0273566855439,110.42072312057276,974.025689674649,10.409445624600405,202.56799921275874,-357.62429179114787,240.95237159305464,2.522986036741075,0.9758205132201774,1.2669119288789847,18
