ir_mean,ir_median,ir_std,ir_min,ir_max,ir_range,ir_skewness,ir_kurtosis,ir_num_peaks,ir_mean_peak_amplitude,ir_dominant_freq,ir_total_energy
52577.42603550296,52672.28614735878,494.4088175273391,51214.2952084005,53481.28790124356,2266.9926928430577,-0.67921147723351,-0.2342992178657463,56.0,52712.77045756542,0.005,110585206743905.31
54981.85294117648,55090.74790672205,331.8658515248336,52820.784885057416,55337.8661307648,2517.0812457073844,-3.197904905110025,13.477464504712197,55.0,55092.15413019762,0.005,120924571511542.64
61247.928994082846,61100.75101308468,344.70652252914795,60731.2761014021,61941.1774309324,1209.901329530294,0.3274493515732742,-1.373853793369174,54.0,61369.84965206829,0.005,150057105146035.53
60305.93491124261,60340.48622676343,213.48289961065788,59800.34544161864,60683.493785429775,883.1483438111391,-0.4069571551451611,-0.8826657694399302,41.0,60349.45240948246,0.005,145474054418698.28
60658.98823529412,60527.88458074255,324.5154761426045,60259.38223951256,61786.89900232069,1527.5167628081326,1.459665961604827,1.7202951066883996,51.0,60724.34361764329,0.005,147184726560952.3
61417.27976190476,61285.38549019114,537.3683577686559,60506.47167399016,62661.37074083395,2154.899066843784,0.425530075993289,-0.9957583940294596,44.0,61535.05431742736,0.005,150894840724160.28
55014.22619047619,54942.51590737501,313.8533617494114,54482.74837720548,55843.71038761961,1360.962010414136,0.5972107759038655,-0.5602424486578115,61.0,55056.40143402935,0.005,121066543490782.31
65989.66666666667,66030.83609554733,245.95406913517144,65268.67737413998,66403.54641213226,1134.8690379922773,-0.7329190295676962,-0.0468404224523513,50.0,66165.46023023,0.005,174187864007276.1
60161.0119047619,61465.37295897507,8385.017517787122,-4297.689291118644,65117.38686904621,69415.07616016486,-6.49320369134659,41.57796432399618,60.0,60786.83330224799,0.005,147586234887140.03
59560.142857142855,59577.09835754975,148.71027523639603,59095.396573563776,59922.61497266504,827.2183991012644,-0.3525030375823145,0.1465394244196058,47.0,59669.37284371866,0.02,141897309276369.0
62535.27976190476,62608.79445467312,364.05140371934897,61225.884504450245,63079.376469800416,1853.491965350171,-1.057859896203616,0.8338826514586701,45.0,62773.18537596642,0.005,156431749932969.78
66641.73809523809,66633.5254294631,124.70541222591298,66378.01897272363,66902.39766990555,524.3786971819209,-0.1511195641521416,-0.7179138666914526,56.0,66670.8840579566,0.005,177645472311765.94
65949.49404761905,65751.5031408302,385.5391878478184,65498.96289593844,67309.00000000001,1810.0371040615792,1.5725964323599355,2.0567576293114085,57.0,65952.45244419212,0.005,173979376224092.3
65006.482142857145,64992.42569761969,76.01270147716201,64860.14698756779,65285.49541557769,425.3484280099001,1.3602963077779853,2.461645081121593,53.0,65019.06960145036,0.005,169033939940815.62
63701.79761904762,63719.51014213124,196.70415534686916,62994.14962254458,64063.31561311714,1069.165990572561,-0.930236312349359,1.0866790678254068,36.0,63810.14042133856,0.005,162318308496913.22
56165.26627218935,55829.75231411765,613.5735900451538,55279.13427112132,57389.806670815946,2110.672399694624,0.5197759772676406,-1.3739607861998375,47.0,56197.11576576186,0.005,126196544319053.28
55445.4852071006,55286.72704790381,689.3565485034619,54401.16991910756,56903.147754965816,2501.9778358582557,0.4431985188254178,-1.1977423142434611,55.0,55539.21124389283,0.005,122987081692071.08
53340.43195266273,53228.37564490411,421.6589066238733,52950.82469711362,55609.27172969889,2658.4470325852744,3.4875426567398757,13.955329801870157,63.0,53438.18031107227,0.005,113815179085207.14
51093.763313609474,51084.388665300765,143.4350466887573,50760.53062645912,51525.41522087519,764.8845944160712,0.316386378116565,-0.2791216677637278,45.0,51141.94648129659,0.005,104423728926390.58
54025.04733727811,53907.64164430235,400.0138726980607,53357.98000748983,55555.20367126603,2197.223663776196,1.1951651354698656,1.4285390183740807,51.0,54067.05577993087,0.005,116754630035739.69
58458.76923076923,58390.21288508773,351.7526026785372,57493.400391191804,59167.26439722548,1673.8640060336766,-0.0804639616174257,-0.6007876554415232,47.0,58516.980510006586,0.005,136702057194792.94
57730.64497041421,57835.730862612,291.5639596950288,57050.989688526766,58207.17881273508,1156.1891242083148,-0.8041763157959241,-0.4850760840158674,51.0,57830.98200485446,0.005,133316495129704.14
53008.017751479296,53126.22275778075,497.4560784438551,51387.28407875748,53810.86810695781,2423.5840282003264,-1.1095903559927878,0.704295716865722,52.0,53152.75650276367,0.005,112403896339644.94
56267.96449704142,56202.491862229705,246.27318966270292,55742.93763766809,56839.00000000003,1096.062362331941,0.243847487437975,-1.013094584182946,59.0,56301.86282939973,0.005,126645779164970.44
53262.93491124261,53200.59242213778,239.34111088797215,52844.49534808911,53907.89997874059,1063.4046306514865,0.5568784768439322,-0.5104740688553591,54.0,53283.29306817622,0.005,113479900781065.12
54738.96449704142,54700.399475642334,204.85289550971004,54427.85887888193,55127.76721825216,699.9083393702313,0.2507609736010843,-1.3610998839774726,52.0,54755.62180336992,0.005,119855847956686.4
55712.84615384616,55855.91271804947,541.3800358299774,54256.268222866245,56481.67246061775,2225.404237751507,-1.07788433892331,0.3185763640976247,40.0,55922.00981721239,0.005,124168572756213.06
58618.44378698224,58611.61366347637,67.86811592804823,58487.71665225647,58790.571729011805,302.85507675533154,0.1056937621974444,-0.751857935714284,52.0,58643.382782323526,0.01,137445062323550.28
54290.8402366864,54230.39866444921,201.30751133689807,53919.80504087082,54808.05747308601,888.2524322151876,0.7224972458719545,-0.3285220424626502,50.0,54341.14178377877,0.005,117901434332781.1
60050.313609467456,60109.314088586296,317.4285772407711,59297.314712798674,60791.37253406315,1494.057821264476,-0.3975201816669951,-0.6648547989758002,52.0,60163.95250220784,0.005,144245637019881.62
51651.02958579882,51809.56601775586,582.1507198854424,50498.08404953554,52532.68787166916,2034.603822133613,-0.2967192278200849,-1.3200962021007625,59.0,51776.09896934333,0.005,106726710269349.16
56863.579881656806,56867.53727875004,216.8469202321934,56250.01614733265,57371.02242796402,1121.0062806313726,-0.1921187881292723,-0.2944312835568929,49.0,57057.61892534345,0.18,129340549581775.14
52885.17751479291,52879.21640239444,144.08931883421158,52462.82175103306,53303.75540469297,840.9336536599149,0.1538914039741384,1.1508725928498291,54.0,52922.52220819098,0.01,111874510500118.38
60326.739644970425,60373.40485043279,185.14837396244695,59564.00000000004,60804.4018532019,1240.4018532018672,-1.4520622894998154,2.8475944031256173,52.0,60387.74676003691,0.005,145573991844497.12
57036.49112426036,56888.012880965965,446.1553994448213,56212.89315274338,57842.03007409012,1629.1369213467333,0.2744988124369257,-1.195035021215254,55.0,57089.24112565239,0.005,130134414976331.48
57375.36094674555,57368.80632477346,239.2305093029594,56792.43006725895,57972.68352517783,1180.2534579188796,0.0445516627451213,-0.4091487454130154,58.0,57490.00213555635,0.005,131679571000236.72
60449.17751479291,60497.55830200459,214.9851608276048,59845.18673042557,60853.44999247467,1008.2632620490986,-0.4968040582719056,-0.7228217468818539,49.0,60522.5088310387,0.005,146165971233372.8
53056.85798816568,53071.0329022384,568.2189999495331,51699.86283272052,54113.2440636643,2413.3812309437853,-0.2407997193532209,-0.5568255735672523,45.0,53155.40669869181,0.005,112614122096331.34
54496.90532544381,54508.64336989694,178.8289071122953,54090.46604168901,54929.6160918817,839.150050192693,0.024617199157003,-0.129168095898045,50.0,54531.89138764233,0.005,118797786793136.14
58995.55621301776,58900.22323630896,560.0867310054578,57877.80702380544,60996.97877344801,3119.171749642577,1.0008505261172316,1.269115898328706,50.0,59243.58051472714,0.015,139231574001183.44
60786.668639053256,60782.96275703224,215.12687110934476,60328.38138926614,61340.70120096068,1012.319811694535,0.1470006845836082,-0.5619550676293827,39.0,61035.7107851417,0.005,147802614552189.34
60475.55029585799,60437.73435692792,163.18388767932512,60047.07688702098,60898.07215955783,850.9952725368494,1.0625098263084514,1.0413619220916983,46.0,60527.67890901708,0.015,146292752502721.94
52833.47928994083,52749.77621755576,349.8213591233483,52266.58794832518,54044.13324438746,1777.545296062286,0.962145965290362,0.7903367315637104,48.0,52924.305608833005,0.005,111659956354556.28
56896.05325443787,56934.42175226336,334.58233718956126,56089.665447346255,57548.41323017698,1458.7477828307235,-0.1300257910613781,-0.9122790151146368,51.0,56934.49936477865,0.005,129490912850887.6
61858.09467455622,61829.068346435626,291.8566204400989,61423.96552309263,62614.14846311546,1190.1829400228307,0.2812297309299087,-1.1071590179655768,43.0,61960.25910589201,0.005,153060362282130.2
56991.08875739645,57024.3867984275,126.9376604358091,56549.52883714593,57194.59836508846,645.0695279425272,-1.184964972484836,0.9660181477941348,54.0,57039.32744009568,0.005,129920012436923.1
53127.7100591716,53161.465924166856,221.70448897430344,52468.54574780421,53660.0674624311,1191.5217146268917,-0.3220104624706263,-0.2653235606377118,39.0,53337.333965708,0.14,112904109160473.31
57519.72189349113,57373.64303872583,313.16636341963925,56916.0193378925,58269.00000000004,1352.9806621075331,0.6389179092616074,-0.8522037927791888,49.0,57570.17963772041,0.005,132344659195029.6
55979.07100591716,55972.46136462488,336.4360120802067,55368.17261767567,57067.06824735636,1698.8956296806864,0.3006258668107774,-0.1216269372443843,52.0,56006.005560116144,0.005,125350783195029.62
61210.14201183432,61213.648894642974,269.51025703896033,60654.20372512781,61733.89542883574,1079.691703707933,-0.0536804039337703,-1.1089865361764342,62.0,61316.2426825458,0.005,149870164835503.0
54822.928994082846,54797.185926308855,198.95206445836044,54446.30057954342,55339.81274282059,893.5121632771697,0.2603554992040362,-0.9424688338746288,47.0,54858.03838322474,0.005,120223725016568.08
57063.85798816568,57448.28325208184,732.4121070992296,55197.46638849095,57947.49273696396,2750.0263484730094,-1.1006801461340978,-0.0766055966431009,62.0,57213.44495555495,0.005,130272812639526.69
52137.31952662723,52070.3583654722,310.4154378515681,51369.21663534032,52722.37551884808,1353.1588835077564,0.0766087695282061,-0.9843305774203696,37.0,52189.8717236152,0.015,108735857806627.2
61251.05325443787,61261.6546656718,158.87955545096395,60654.1531857079,61519.10175761252,864.9485719046133,-0.5873546199123554,0.4359022484231816,43.0,61321.00611144109,0.005,150068670699644.97
58752.668639053256,58742.18993646184,73.7384408266417,58592.55632522125,58980.6310232836,388.0746980623517,0.6487599844441787,0.3095312933258642,51.0,58794.6277399207,0.005,138075260382721.88
58982.78698224853,58988.40271366108,165.51369437543417,58455.615808054,59297.3930869812,841.7772789271985,-0.3496764148679323,-0.1750577438879017,49.0,59006.38816752828,0.01,139159862199053.28
44660.65088757397,44366.01744927671,1771.8593089364886,41431.48256202675,48912.59999388493,7481.117431858176,0.1929696271738354,-0.975506577483332,35.0,44714.362574897685,0.005,79908528924497.0
55166.07692307694,55313.463582444405,502.0312939631767,53825.45678500006,55817.02912762814,1991.572342628082,-0.6521055547935554,-0.6053400858350564,47.0,55301.15120662374,0.005,121741923140118.4
57106.88165680473,57137.82067595485,160.26316436684996,56870.269042093656,57451.07054452546,580.801502431801,0.2337919220286774,-1.2228085254019243,49.0,57138.18085822065,0.005,130448864673846.14
